0,3262,-1.30198,1.4723,-7.84826,6.21782,-5.07349,-2.02778,-8.24509,-6.37193,0.304443,0.984037,0.176773,-0.0193756,-0.00681164,96,12,0
1,20562,-1.01821,1.53818,-3.18957,3.16199,-1.66306,-1.90118,-9.45854,-1.20843,-0.545857,0.987261,0.154891,-0.034161,-0.0125807,103,14,0
2,31259,-0.189832,1.13655,3.4199,-1.18229,3.34473,-1.66217,6.1257,0.9616,1.44917,0.989589,0.139582,-0.0317889,-0.014856,108,12,0
3,42211,0.096624,-0.350384,-1.46961,0.655715,-1.33787,-0.731655,-5.55553,-2.69768,-1.27582,0.987728,0.153033,-0.028633,-0.0123972,116,10,0
4,53496,1.6043,-1.0126,3.7659,-2.9959,2.64145,0.352206,9.48811,2.22331,1.36182,0.990393,0.134077,-0.0296192,-0.0163781,95,16,0
5,64153,-0.73078,1.69629,0.854732,0.791665,1.57579,-2.01595,-6.6743,1.26519,0.729898,0.9893,0.141467,-0.0319968,-0.0157722,110,12,0
6,75959,-0.16226,1.43301,-1.09458,1.79111,0.0214695,-1.26347,1.93376,-2.541,-1.32866,0.987352,0.155853,-0.0270176,-0.0108116,132,14,0
7,89229,1.69995,-1.58576,2.78111,-2.8606,1.50648,0.639053,1.59566,3.98224,1.24393,0.989768,0.139431,-0.0274677,-0.0127821,113,12,0
8,103688,0.277184,-0.276208,0.721508,-0.651079,0.440614,-0.764096,-3.39894,1.54801,0.532899,0.988704,0.145066,-0.0347009,-0.0147277,103,12,0
9,116195,0.515572,-0.355264,1.3198,-1.08024,0.890721,-0.583368,1.1195,2.04188,0.526486,0.988052,0.148911,-0.0370762,-0.0143163,100,15,0
10,128802,0.15494,0.46482,0.843752,-0.147228,0.964522,-1.00156,1.55687,1.57092,0.268708,0.988656,0.143495,-0.0408743,-0.0172415,124,8,0
11,139641,-0.430416,0.686616,1.02065,-0.0783192,1.13614,-1.63363,-0.980592,-0.0136174,-0.0196119,0.98939,0.136845,-0.044828,-0.0192854,113,17,0
12,152141,0.083448,0.468724,0.871324,-0.154197,0.977526,-1.08086,-0.720676,-0.129067,-0.099022,0.989188,0.138662,-0.0438576,-0.0188965,96,11,0
13,164663,0.205204,0.3355,0.904264,-0.278345,0.944549,-0.947908,-0.206343,0.014787,-0.00311901,0.989116,0.139407,-0.0433554,-0.018321,103,14,0
14,177167,0.124196,0.336964,0.90158,-0.276365,0.929891,-1.02721,0.0153949,0.0825911,0.0173444,0.989214,0.138832,-0.04306,-0.0181209,135,9,0
